code_pays,annee,dep_sante,mort_inf,esp_vie,mort_mat,id_pays,_est_fe,_est_re
AGO,2000,1.6852528,185,46.500999,659,AGO,1,1
AGO,2001,3.9588265,176.3,47.032001,629,AGO,1,1
AGO,2002,2.9398222,166.39999,47.874001,602,AGO,1,1
AGO,2003,3.1068034,155.5,50.217999,538,AGO,1,1
AGO,2004,3.4608405,143.7,51.123001,499,AGO,1,1
AGO,2005,2.5472658,131.5,52.130001,462,AGO,1,1
AGO,2006,2.3983343,119.8,52.965,437,AGO,1,1
AGO,2007,2.6579084,109,54.200001,401,AGO,1,1
AGO,2008,2.978076,99.199997,55.280998,372,AGO,1,1
AGO,2009,3.3065591,90.699997,56.224998,348,AGO,1,1
AGO,2010,2.3637385,83.400002,57.242001,321,AGO,1,1
AGO,2011,2.355619,77.199997,58.092999,301,AGO,1,1
AGO,2012,2.1367731,72,58.916,278,AGO,1,1
AGO,2013,2.4297719,67.900002,59.705002,267,AGO,1,1
AGO,2014,2.1568003,64.5,60.396,262,AGO,1,1
AGO,2015,2.2996688,61.799999,61.042,249,AGO,1,1
AGO,2016,2.3906872,59.599998,61.618999,236,AGO,1,1
AGO,2017,2.4379425,57.900002,62.122002,220,AGO,1,1
AGO,2018,2.2988749,56.5,62.622002,208,AGO,1,1
AGO,2019,2.2039428,55.299999,63.050999,202,AGO,1,1
AGO,2020,2.816889,54.200001,63.116001,195,AGO,1,1
AGO,2021,2.739871,53.200001,62.958,211,AGO,1,1
AGO,2022,2.6004105,51.900002,64.246002,185,AGO,1,1
BDI,2000,4.2218161,152.39999,47.617001,860,BDI,1,1
BDI,2001,5.6818042,147.5,48.508999,799,BDI,1,1
BDI,2002,5.3498359,142.3,49.924,743,BDI,1,1
BDI,2003,5.2724519,136.60001,50.997002,705,BDI,1,1
BDI,2004,7.0957274,130.39999,52.216999,687,BDI,1,1
BDI,2005,7.5601659,123.7,53.053001,685,BDI,1,1
BDI,2006,8.7126484,116.6,53.962002,670,BDI,1,1
BDI,2007,9.1855402,109.5,54.832001,655,BDI,1,1
BDI,2008,7.7414751,102.6,55.581001,635,BDI,1,1
BDI,2009,9.2323847,96.099998,56.422001,612,BDI,1,1
BDI,2010,11.281967,90.199997,57.088001,614,BDI,1,1
BDI,2011,10.069963,84.699997,57.804001,597,BDI,1,1
BDI,2012,8.6375647,79.599998,58.500999,575,BDI,1,1
BDI,2013,8.6283464,74.900002,59.179001,555,BDI,1,1
BDI,2014,7.2108154,70.599998,59.764,533,BDI,1,1
BDI,2015,6.2904449,66.900002,60.106998,525,BDI,1,1
BDI,2016,7.0614824,63.700001,60.789001,501,BDI,1,1
BDI,2017,6.9523039,60.900002,61.345001,482,BDI,1,1
BDI,2018,7.2939615,58.5,61.806,464,BDI,1,1
BDI,2019,9.0594063,56.200001,62.18,449,BDI,1,1
BDI,2020,10.707762,54.299999,62.569,441,BDI,1,1
BDI,2021,8.9419031,52.299999,62.101002,447,BDI,1,1
BDI,2022,8.6687746,50.299999,62.882,412,BDI,1,1
BEN,2000,2.9591713,135,56.594002,529,BEN,1,1
BEN,2001,3.3041732,131.7,56.653999,532,BEN,1,1
BEN,2002,3.095892,128.5,56.851002,534,BEN,1,1
BEN,2003,3.116785,125.4,57.091999,532,BEN,1,1
BEN,2004,3.2327387,122.5,57.346001,531,BEN,1,1
BEN,2005,3.2234581,119.7,57.737999,514,BEN,1,1
BEN,2006,3.2877386,117,57.966,509,BEN,1,1
BEN,2007,2.9371564,114.4,58.249001,501,BEN,1,1
BEN,2008,2.6517811,112,58.098999,563,BEN,1,1
BEN,2009,2.8995388,109.7,58.257999,598,BEN,1,1
BEN,2010,3.0184824,107.4,58.387001,607,BEN,1,1
BEN,2011,2.9986556,105.1,58.462002,613,BEN,1,1
BEN,2012,3.0756297,102.9,58.558998,618,BEN,1,1
BEN,2013,2.8688076,100.6,58.862999,607,BEN,1,1
BEN,2014,2.6911197,98.400002,59.007999,605,BEN,1,1
BEN,2015,2.7281342,96.099998,59.123001,606,BEN,1,1
BEN,2016,3.6204286,94,59.283001,604,BEN,1,1
BEN,2017,3.6738935,91.800003,59.528,592,BEN,1,1
BEN,2018,3.4364984,89.400002,59.709999,585,BEN,1,1
BEN,2019,3.0020688,87,59.888,572,BEN,1,1
BEN,2020,3.0512166,84.599998,60.153999,578,BEN,1,1
BEN,2021,2.9158976,82.199997,59.610001,584,BEN,1,1
BEN,2022,2.9818439,79.599998,60.474998,547,BEN,1,1
BFA,2000,4.0211668,176,50.807999,524,BFA,1,1
BFA,2001,3.9598391,171.89999,51.188,513,BFA,1,1
BFA,2002,4.1798553,167.3,51.446999,508,BFA,1,1
BFA,2003,4.4226604,162.3,51.959,495,BFA,1,1
BFA,2004,5.2308364,156.8,52.599998,481,BFA,1,1
BFA,2005,4.8378491,150.8,53.271,467,BFA,1,1
BFA,2006,5.170433,144.39999,53.784,463,BFA,1,1
BFA,2007,5.7753501,138.10001,54.376999,453,BFA,1,1
BFA,2008,4.967216,132.10001,55.199001,429,BFA,1,1
BFA,2009,5.1968393,126.5,55.791,419,BFA,1,1
BFA,2010,5.2896724,121.3,56.342999,404,BFA,1,1
BFA,2011,4.6486816,116.6,57.000999,388,BFA,1,1
BFA,2012,4.6026726,112.3,57.457001,376,BFA,1,1
BFA,2013,5.5633159,108.2,57.903,361,BFA,1,1
BFA,2014,5.0002723,104.3,58.331001,344,BFA,1,1
BFA,2015,5.1319242,100.8,58.778,328,BFA,1,1
BFA,2016,5.9528465,97.400002,59.173,313,BFA,1,1
BFA,2017,6.1207519,94.099998,59.577999,298,BFA,1,1
BFA,2018,4.9442768,91,59.972,286,BFA,1,1
BFA,2019,5.3500113,88.099998,60.183998,274,BFA,1,1
BFA,2020,6.8946996,85.099998,60.453999,334,BFA,1,1
BFA,2021,7.0869193,82.400002,60.046001,354,BFA,1,1
BFA,2022,7.4143553,79.800003,60.700001,316,BFA,1,1
BWA,2000,6.1083856,79.800003,52.263,136,BWA,1,1
BWA,2001,6.3660779,79.300003,52.209999,138,BWA,1,1
BWA,2002,6.665298,77.900002,52.373001,140,BWA,1,1
BWA,2003,6.4093385,76.699997,52.851002,142,BWA,1,1
BWA,2004,6.09126,75.699997,53.573002,151,BWA,1,1
BWA,2005,5.2653294,70.800003,54.386002,166,BWA,1,1
BWA,2006,4.8759942,66,55.112,204,BWA,1,1
BWA,2007,5.5208073,64.300003,56.735001,201,BWA,1,1
BWA,2008,5.8974729,63.700001,57.660999,199,BWA,1,1
BWA,2009,6.6208119,60.599998,58.297001,213,BWA,1,1
BWA,2010,6.2671819,58.400002,59.137001,228,BWA,1,1
BWA,2011,5.8691502,58.799999,59.715,269,BWA,1,1
BWA,2012,6.3501058,53.900002,60.383999,288,BWA,1,1
BWA,2013,6.4991364,50.299999,61.216999,221,BWA,1,1
BWA,2014,5.8804059,49,62.167,212,BWA,1,1
BWA,2015,6.1028776,46.700001,63.215,141,BWA,1,1
BWA,2016,5.7683764,45.099998,64.32,72,BWA,1,1
BWA,2017,6.6298699,42.099998,65.419998,46,BWA,1,1
BWA,2018,6.0401034,41.200001,66.371002,99,BWA,1,1
BWA,2019,6.121932,40,67.167,100,BWA,1,1
BWA,2020,6.1213398,38.900002,67.642998,98,BWA,1,1
BWA,2021,6.3031507,37.099998,63.303001,165,BWA,1,1
BWA,2022,5.7365079,35.700001,68.749001,120,BWA,1,1
CAF,2000,4.3808217,165.5,46.609001,1490,CAF,1,1
CAF,2001,4.0104399,162.5,46.734001,1504,CAF,1,1
CAF,2002,4.2363362,159,46.84,1496,CAF,1,1
CAF,2003,4.1857247,155.60001,47.306,1487,CAF,1,1
CAF,2004,4.1436791,151.8,47.695999,1450,CAF,1,1
CAF,2005,4.2285757,147.89999,48.207001,1389,CAF,1,1
CAF,2006,4.3110867,143.5,48.687,1337,CAF,1,1
CAF,2007,4.6338892,139.3,49.327,1271,CAF,1,1
CAF,2008,4.0263577,135.5,49.873001,1234,CAF,1,1
CAF,2009,4.6832561,489.29999,14.665,1272,CAF,1,1
CAF,2010,3.5669987,150.7,46.870998,1230,CAF,1,1
CAF,2011,3.6756186,125.1,50.106998,1131,CAF,1,1
CAF,2012,3.9181445,121.9,51.335999,1092,CAF,1,1
CAF,2013,4.766602,134.2,49.487,1092,CAF,1,1
CAF,2014,4.5655737,186.8,40.264999,1034,CAF,1,1
CAF,2015,5.0343418,113.7,51.933998,981,CAF,1,1
CAF,2016,5.4440231,126.8,50.999001,962,CAF,1,1
CAF,2017,6.6654158,155.2,45.230999,1093,CAF,1,1
CAF,2018,10.994841,120.2,52.297001,881,CAF,1,1
CAF,2019,7.7608151,254.7,31.530001,1650,CAF,1,1
CAF,2020,8.9848804,124.2,50.596001,1296,CAF,1,1
CAF,2021,9.1509752,178.7,40.278999,1127,CAF,1,1
CAF,2022,9.949935,424.60001,18.818001,841,CAF,1,1
CIV,2000,3.6147692,140.39999,51.393002,378,CIV,1,1
CIV,2001,3.5904715,136.89999,51.428001,405,CIV,1,1
CIV,2002,3.5414605,133.10001,51.543999,427,CIV,1,1
CIV,2003,3.9514771,129.2,51.443001,451,CIV,1,1
CIV,2004,4.0214872,125.3,51.938999,456,CIV,1,1
CIV,2005,3.9663908,121.2,52.431999,492,CIV,1,1
CIV,2006,3.9286146,117.4,52.884998,544,CIV,1,1
CIV,2007,4.1937966,113.5,53.452,567,CIV,1,1
CIV,2008,4.1387105,109,54.179001,562,CIV,1,1
CIV,2009,4.6397142,105.2,54.743999,588,CIV,1,1
CIV,2010,4.5749483,101.6,55.282001,592,CIV,1,1
CIV,2011,4.397007,98.400002,55.972,569,CIV,1,1
CIV,2012,4.4273715,95.300003,56.57,566,CIV,1,1
CIV,2013,3.7177379,92,57.056999,544,CIV,1,1
CIV,2014,3.7310183,88.599998,57.771999,522,CIV,1,1
CIV,2015,3.2198832,85.5,58.280998,505,CIV,1,1
CIV,2016,3.3210127,83,58.813999,488,CIV,1,1
CIV,2017,3.2469304,80.5,59.314999,465,CIV,1,1
CIV,2018,3.0916779,77.900002,59.794998,449,CIV,1,1
CIV,2019,3.1891685,75.300003,60.273998,429,CIV,1,1
CIV,2020,3.6232789,73,60.139999,447,CIV,1,1
CIV,2021,3.7620766,70.800003,60.290001,459,CIV,1,1
CIV,2022,3.6384761,68.699997,61.562,409,CIV,1,1
CMR,2000,4.2957339,143.89999,53.338001,678,CMR,1,1
CMR,2001,4.168304,141,53.598,672,CMR,1,1
CMR,2002,4.0266991,137.60001,53.922001,658,CMR,1,1
CMR,2003,3.9022799,134.3,54.252998,645,CMR,1,1
CMR,2004,3.7279899,130.89999,54.577999,633,CMR,1,1
CMR,2005,3.7727444,127.6,54.903999,629,CMR,1,1
CMR,2006,3.7366283,124.2,55.300999,615,CMR,1,1
CMR,2007,3.7949879,120.8,55.709999,605,CMR,1,1
CMR,2008,3.6584368,117.2,56.116001,592,CMR,1,1
CMR,2009,3.4999719,113.7,56.486,579,CMR,1,1
CMR,2010,3.5774217,109.5,56.965,562,CMR,1,1
CMR,2011,3.8528295,105.2,57.481998,541,CMR,1,1
CMR,2012,3.9310236,100.8,58.169998,500,CMR,1,1
CMR,2013,3.6313643,96.5,58.73,469,CMR,1,1
CMR,2014,4.3414879,92.400002,59.130001,440,CMR,1,1
CMR,2015,4.1260052,88.5,59.687,417,CMR,1,1
CMR,2016,4.0225372,85.099998,60.292999,393,CMR,1,1
CMR,2017,3.7929394,81.900002,60.817001,372,CMR,1,1
CMR,2018,3.6197016,78.900002,61.188999,354,CMR,1,1
CMR,2019,3.6515791,76.599998,61.695,336,CMR,1,1
CMR,2020,4.2505193,74.400002,61.674,316,CMR,1,1
CMR,2021,4.3410978,71.900002,61.146,342,CMR,1,1
CMR,2022,4.4943914,69.400002,62.443001,276,CMR,1,1
COD,2000,1.4659474,184.60001,51.887001,585,COD,1,1
COD,2001,2.6231098,178.39999,52.205002,588,COD,1,1
COD,2002,2.5701294,172.2,52.370998,601,COD,1,1
COD,2003,3.7335334,165.89999,52.952,605,COD,1,1
COD,2004,4.3356419,159.39999,53.534,607,COD,1,1
COD,2005,3.9855824,124.4,54.000999,613,COD,1,1
COD,2006,4.0621066,118.9,54.498001,619,COD,1,1
COD,2007,3.8938496,113.8,54.953999,631,COD,1,1
COD,2008,4.3125482,109.2,55.388,620,COD,1,1
COD,2009,4.5113316,105,55.798,608,COD,1,1
COD,2010,3.7222428,101.4,56.410999,601,COD,1,1
COD,2011,3.1943555,98.300003,56.910999,589,COD,1,1
COD,2012,3.2215035,95.900002,57.349998,578,COD,1,1
COD,2013,3.3405752,94.099998,57.794998,567,COD,1,1
COD,2014,3.7252061,92.699997,58.236,558,COD,1,1
COD,2015,3.7478545,91.900002,58.658001,545,COD,1,1
COD,2016,4.2002783,91.5,59.081001,526,COD,1,1
COD,2017,4.0005779,91.5,59.494999,519,COD,1,1
COD,2018,3.2412717,91.699997,59.925999,508,COD,1,1
COD,2019,3.508039,92.199997,60.242001,493,COD,1,1
COD,2020,3.9769444,92.699997,60.428001,489,COD,1,1
COD,2021,3.8672798,92.900002,60.043999,507,COD,1,1
COD,2022,3.9417696,92.5,60.979,456,COD,1,1
COG,2000,1.5050085,112.5,55.370998,509,COG,1,1
COG,2001,2.1852999,109.3,55.884998,489,COG,1,1
COG,2002,1.7016783,104.6,56.414001,464,COG,1,1
COG,2003,1.918524,98.900002,57.131001,436,COG,1,1
COG,2004,1.9215237,92.300003,57.957001,400,COG,1,1
COG,2005,1.717741,85.699997,58.73,385,COG,1,1
COG,2006,1.7086132,79.5,59.473999,394,COG,1,1
COG,2007,1.9020017,73.900002,60.049999,370,COG,1,1
COG,2008,2.2392714,69.199997,60.790001,395,COG,1,1
COG,2009,2.1422224,65.300003,61.215,414,COG,1,1
COG,2010,1.8517286,62.400002,61.730999,382,COG,1,1
COG,2011,1.7523732,60,62.285999,378,COG,1,1
COG,2012,1.9097106,57.900002,62.661999,374,COG,1,1
COG,2013,1.9434716,56.200001,62.969002,320,COG,1,1
COG,2014,1.9731174,54.5,63.348999,302,COG,1,1
COG,2015,2.4566848,52.700001,63.661999,284,COG,1,1
COG,2016,2.5942299,51,63.910999,263,COG,1,1
COG,2017,2.3647602,49.299999,64.203003,262,COG,1,1
COG,2018,1.7558498,47.599998,64.472,259,COG,1,1
COG,2019,2.3477128,52.200001,63.152,245,COG,1,1
COG,2020,4.0177507,44.5,64.390999,247,COG,1,1
COG,2021,3.4613335,43,64.192001,301,COG,1,1
COG,2022,2.3001137,41.5,65,241,COG,1,1
COM,2000,7.5152502,79.900002,58.941002,476,COM,1,1
COM,2001,6.6571784,76.800003,59.587002,440,COM,1,1
COM,2002,6.685946,73.800003,59.723,428,COM,1,1
COM,2003,6.6602483,71,60.240002,400,COM,1,1
COM,2004,6.5857615,68.300003,60.556999,385,COM,1,1
COM,2005,6.1314287,65.800003,60.882999,373,COM,1,1
COM,2006,5.7734184,63.400002,61.229,360,COM,1,1
COM,2007,5.4175386,61.200001,61.474998,352,COM,1,1
COM,2008,5.068975,59.200001,61.955002,334,COM,1,1
COM,2009,4.9269438,57.299999,62.301998,320,COM,1,1
COM,2010,4.9918156,55.599998,62.747002,305,COM,1,1
COM,2011,5.3021183,54,63.105,291,COM,1,1
COM,2012,5.1735463,52.5,63.463001,274,COM,1,1
COM,2013,5.102993,51.200001,63.839001,260,COM,1,1
COM,2014,5.2384973,50,64.142998,247,COM,1,1
COM,2015,4.6008992,48.900002,64.473,237,COM,1,1
COM,2016,4.6526356,47.900002,64.792,225,COM,1,1
COM,2017,5.2680745,46.900002,65.126999,219,COM,1,1
COM,2018,4.9031858,45.799999,65.401001,209,COM,1,1
COM,2019,5.1804447,44.799999,65.662003,202,COM,1,1
COM,2020,5.902421,43.700001,65.755997,198,COM,1,1
COM,2021,6.46315,42.599998,65.200996,215,COM,1,1
COM,2022,8.4711952,41.400002,66.481003,186,COM,1,1
CPV,2000,3.8602502,36,68.116997,110,CPV,1,1
CPV,2001,3.6965292,32.799999,68.707001,101,CPV,1,1
CPV,2002,3.7248976,30.5,69.446999,92,CPV,1,1
CPV,2003,3.6274426,29,70.005997,86,CPV,1,1
CPV,2004,3.5461631,28.200001,70.499001,80,CPV,1,1
CPV,2005,3.3408659,28,70.935997,75,CPV,1,1
CPV,2006,3.8240676,28,71.341003,76,CPV,1,1
CPV,2007,3.8421862,28.1,71.487,73,CPV,1,1
CPV,2008,3.2695158,27.9,71.888,68,CPV,1,1
CPV,2009,3.55867,27.5,72.141998,62,CPV,1,1
CPV,2010,4.0808539,26.700001,72.507004,61,CPV,1,1
CPV,2011,3.9252782,25.6,72.913002,55,CPV,1,1
CPV,2012,4.6740551,24.200001,73.315002,51,CPV,1,1
CPV,2013,4.8246827,22.6,73.481003,50,CPV,1,1
CPV,2014,4.8523154,20.9,73.788002,48,CPV,1,1
CPV,2015,4.4007368,19.200001,74.096001,46,CPV,1,1
CPV,2016,4.36134,17.6,74.349998,44,CPV,1,1
CPV,2017,4.4807096,16.200001,74.709999,43,CPV,1,1
CPV,2018,4.7854819,15.1,74.839996,43,CPV,1,1
CPV,2019,4.8243132,14.1,75.448997,41,CPV,1,1
CPV,2020,7.0339932,13.3,73.818001,56,CPV,1,1
CPV,2021,6.6077361,12.7,74.424004,56,CPV,1,1
CPV,2022,6.7024341,12.1,75.906998,42,CPV,1,1
DJI,2000,3.3964186,98.5,56.734001,501,DJI,1,1
DJI,2001,3.1960845,96.300003,57.506001,441,DJI,1,1
DJI,2002,3.7524378,94,57.824001,404,DJI,1,1
DJI,2003,4.2704873,91.599998,58.041,391,DJI,1,1
DJI,2004,3.5354469,89.300003,58.103001,364,DJI,1,1
DJI,2005,3.8032196,86.900002,58.548,315,DJI,1,1
DJI,2006,4.2197247,84.599998,58.962002,298,DJI,1,1
DJI,2007,4.0526276,82.300003,59.362,285,DJI,1,1
DJI,2008,3.6125772,79.900002,59.814999,273,DJI,1,1
DJI,2009,3.6390557,77.699997,60.351002,263,DJI,1,1
DJI,2010,3.356997,75.5,60.743,243,DJI,1,1
DJI,2011,3.3738787,73.400002,61.337002,229,DJI,1,1
DJI,2012,3.2973099,71.300003,61.719002,221,DJI,1,1
DJI,2013,2.9178212,69.199997,62.116001,219,DJI,1,1
DJI,2014,2.959301,67.199997,62.426998,212,DJI,1,1
DJI,2015,3.3475771,65.199997,62.833,210,DJI,1,1
DJI,2016,2.7416613,63.200001,63.334999,204,DJI,1,1
DJI,2017,2.4797637,61.200001,63.709999,201,DJI,1,1
DJI,2018,2.530864,59.400002,64.105003,199,DJI,1,1
DJI,2019,2.4134784,57.5,64.380997,194,DJI,1,1
DJI,2020,2.3386123,55.700001,64.199997,192,DJI,1,1
DJI,2021,2.8712809,54,63.830002,221,DJI,1,1
DJI,2022,2.5255454,52.099998,65.540001,174,DJI,1,1
DZA,2000,3.2148545,41.700001,70.575996,123,DZA,1,1
DZA,2001,3.5362859,40.200001,71.025002,113,DZA,1,1
DZA,2002,3.4416964,38.599998,71.643997,102,DZA,1,1
DZA,2003,3.3256936,37,71.905998,101,DZA,1,1
DZA,2004,3.2903051,35.400002,72.536003,91,DZA,1,1
DZA,2005,3.1188612,33.900002,72.835999,87,DZA,1,1
DZA,2006,3.1899989,32.5,73.115997,84,DZA,1,1
DZA,2007,3.6201143,31.200001,73.346001,83,DZA,1,1
DZA,2008,3.9833102,30.1,73.617996,83,DZA,1,1
DZA,2009,4.892108,29,73.871002,83,DZA,1,1
DZA,2010,4.6400142,28.1,74.143997,82,DZA,1,1
DZA,2011,4.825675,27.299999,74.383003,81,DZA,1,1
DZA,2012,5.6365852,26.6,74.609001,81,DZA,1,1
DZA,2013,5.6454177,25.9,74.808998,81,DZA,1,1
DZA,2014,6.0148411,25.4,74.991997,80,DZA,1,1
DZA,2015,6.3343568,24.9,75.158997,79,DZA,1,1
DZA,2016,6.0008087,24.5,75.309998,79,DZA,1,1
DZA,2017,5.9484539,24,75.431,77,DZA,1,1
DZA,2018,5.9323926,23.700001,75.555,75,DZA,1,1
DZA,2019,5.4173212,23.299999,75.681999,73,DZA,1,1
DZA,2020,5.6383076,22.9,73.257004,97,DZA,1,1
DZA,2021,5.0218887,22.6,75.208,79,DZA,1,1
DZA,2022,3.6346428,22.299999,76.128998,64,DZA,1,1
EGY,2000,4.9224429,47.299999,67.332001,53,EGY,1,1
EGY,2001,5.4003034,44.799999,67.612,50,EGY,1,1
EGY,2002,5.5107379,42.5,67.846001,48,EGY,1,1
EGY,2003,5.2242527,40.400002,68.044998,45,EGY,1,1
EGY,2004,4.8573236,38.599998,68.210999,43,EGY,1,1
EGY,2005,4.9222918,37,68.355003,41,EGY,1,1
EGY,2006,4.8419008,35.599998,68.492996,40,EGY,1,1
EGY,2007,4.4449325,34.200001,68.626999,38,EGY,1,1
EGY,2008,4.4663482,32.799999,68.761002,36,EGY,1,1
EGY,2009,4.3787093,31.6,68.915001,34,EGY,1,1
EGY,2010,4.1531916,30.5,69.078003,32,EGY,1,1
EGY,2011,4.3570757,29.5,69.232002,31,EGY,1,1
EGY,2012,4.4589181,28.6,69.463997,29,EGY,1,1
EGY,2013,4.6710043,27.799999,69.632004,27,EGY,1,1
EGY,2014,4.7741532,27.1,69.911003,26,EGY,1,1
EGY,2015,5.061532,26.5,70.135002,24,EGY,1,1
EGY,2016,5.0746241,26,70.436996,23,EGY,1,1
EGY,2017,5.3466191,25.6,70.709,21,EGY,1,1
EGY,2018,4.74893,25.200001,70.973999,20,EGY,1,1
EGY,2019,4.5994668,24.799999,71.212997,19,EGY,1,1
EGY,2020,4.1538463,24.4,69.790001,31,EGY,1,1
EGY,2021,4.6095514,24,68.975998,42,EGY,1,1
EGY,2022,4.723628,23.5,71.010002,24,EGY,1,1
ERI,2000,5.7667007,85.300003,56.285,741,ERI,1,1
ERI,2001,5.9193168,81.099998,58.359001,651,ERI,1,1
ERI,2002,6.6885743,77.300003,58.941002,636,ERI,1,1
ERI,2003,7.3370337,73.800003,59.455002,588,ERI,1,1
ERI,2004,7.0098491,70.5,60.063,588,ERI,1,1
ERI,2005,6.8641758,67.5,60.627998,567,ERI,1,1
ERI,2006,6.8572745,64.699997,61.457001,555,ERI,1,1
ERI,2007,5.2786293,62,61.998001,541,ERI,1,1
ERI,2008,6.5780754,59.599998,62.422001,530,ERI,1,1
ERI,2009,5.4234319,57.299999,63.202999,515,ERI,1,1
ERI,2010,4.818665,55.200001,63.665001,498,ERI,1,1
ERI,2011,5.1622901,53.299999,64.231003,478,ERI,1,1
ERI,2012,3.7424579,51.400002,64.696999,458,ERI,1,1
ERI,2013,4.9681306,49.700001,65.004997,443,ERI,1,1
ERI,2014,3.9143238,48.099998,65.516998,430,ERI,1,1
ERI,2015,4.5077682,46.400002,65.908997,413,ERI,1,1
ERI,2016,3.7383895,44.700001,66.241997,395,ERI,1,1
ERI,2017,4.1535945,43.299999,66.612,379,ERI,1,1
ERI,2018,4.247489,41.900002,66.978996,363,ERI,1,1
ERI,2019,4.6480646,40.5,67.306,351,ERI,1,1
ERI,2020,4.3111773,39.099998,66.980003,334,ERI,1,1
ERI,2021,4.17839,37.799999,66.940002,338,ERI,1,1
ERI,2022,3.8753784,36.599998,67.789001,301,ERI,1,1
ETH,2000,4.365047,140.10001,50.880001,870,ETH,1,1
ETH,2001,4.7231669,133.8,51.428001,856,ETH,1,1
ETH,2002,4.7126298,127.4,52.084999,826,ETH,1,1
ETH,2003,4.8997092,121,52.876999,797,ETH,1,1
ETH,2004,4.3128185,114.6,53.735001,764,ETH,1,1
ETH,2005,4.1009812,108.3,54.363998,754,ETH,1,1
ETH,2006,4.4575729,102.4,55.402,729,ETH,1,1
ETH,2007,5.0012832,96.900002,56.566002,704,ETH,1,1
ETH,2008,4.2806387,91.800003,57.733002,678,ETH,1,1
ETH,2009,4.6496563,87.099998,58.715,649,ETH,1,1
ETH,2010,5.4663725,82.699997,59.709,619,ETH,1,1
ETH,2011,4.4689775,78.599998,60.595001,588,ETH,1,1
ETH,2012,4.5395956,74.800003,61.443001,545,ETH,1,1
ETH,2013,4.0750651,71.199997,62.160999,494,ETH,1,1
ETH,2014,4.0336552,67.699997,62.926998,444,ETH,1,1
ETH,2015,3.8231683,64.400002,63.591999,401,ETH,1,1
ETH,2016,3.6003375,61.299999,64.162003,364,ETH,1,1
ETH,2017,3.4533691,58.400002,64.765999,327,ETH,1,1
ETH,2018,3.3037176,55.799999,65.257004,297,ETH,1,1
ETH,2019,3.2428713,53.599998,65.740997,269,ETH,1,1
ETH,2020,3.4809628,51.5,65.969002,244,ETH,1,1
ETH,2021,3.2077997,70.400002,65.330002,250,ETH,1,1
ETH,2022,2.8529811,68.099998,66.897003,207,ETH,1,1
GAB,2000,2.904711,73.300003,61.810001,178,GAB,1,1
GAB,2001,3.1519821,71.5,61.981998,160,GAB,1,1
GAB,2002,3.3297069,69.599998,62.174999,151,GAB,1,1
GAB,2003,3.5364847,67.699997,62.463001,134,GAB,1,1
GAB,2004,3.3649859,65.599998,62.694,142,GAB,1,1
GAB,2005,2.9217517,63.599998,62.978001,175,GAB,1,1
GAB,2006,3.1462393,61.799999,63.258999,186,GAB,1,1
GAB,2007,3.0834198,59.700001,63.618999,173,GAB,1,1
GAB,2008,2.8476067,57.599998,64.011002,158,GAB,1,1
GAB,2009,3.7807667,55.599998,64.361,158,GAB,1,1
GAB,2010,2.475569,53.400002,64.714996,144,GAB,1,1
GAB,2011,2.5577157,51.299999,65.101997,149,GAB,1,1
GAB,2012,2.4209757,49.400002,65.438004,173,GAB,1,1
GAB,2013,2.840872,47.299999,65.750999,235,GAB,1,1
GAB,2014,2.5328226,45.799999,66.07,273,GAB,1,1
GAB,2015,2.6574395,44.400002,66.335999,239,GAB,1,1
GAB,2016,3.1076982,42.700001,66.583,215,GAB,1,1
GAB,2017,2.7806888,41.400002,66.816002,184,GAB,1,1
